tower_id,date,operator,city,state,uptime_percentage,downtime_minutes,outage_count,outage_reason,network_type,avg_users_affected
LAG-9732,2025-09-22,9mobile,Lagos,Lagos,98.29,24.62,3,,4G,0
KAD-7525,2025-09-12,9mobile,Kaduna,Bayelsa,91.57,121.39,4,fiber_cut,4G,145
ONI-4929,2025-09-30,MTN,Onitsha,Adamawa,98.69,18.86,4,,4G,0
ABU-9612,2025-09-16,Glo,Abuja,Niger,90.74,133.34,0,power_failure,5G,54
ABA-3174,2025-09-09,Glo,Aba,Cross River,96.37,52.27,4,,3G,0
ABA-4791,2025-10-01,Airtel,Aba,Imo,97.47,36.43,4,,4G,0
JOS-6889,2025-09-27,MTN,Jos,Jigawa,92.13,113.33,5,equipment_fault,4G,429
BEN-7763,2025-09-09,Glo,Benin City,Bayelsa,95.76,61.06,4,,3G,0
ABE-2882,2025-09-19,Glo,Abeokuta,Lagos,93.02,100.51,1,power_failure,4G,363
ABA-5706,2025-09-15,Glo,Aba,Niger,86.29,197.42,5,power_failure,4G,119
BEN-7971,2025-09-16,Glo,Benin City,Lagos,92.94,101.66,1,weather,4G,69
CAL-8507,2025-09-12,Airtel,Calabar,Enugu,88.83,160.85,1,power_failure,4G,220
BEN-3045,2025-09-04,Glo,Benin City,Kano,100.0,0.0,0,,4G,0
WAR-2107,2025-09-07,MTN,Warri,Cross River,96.5,50.4,5,,4G,0
KAD-7991,2025-09-03,Airtel,Kaduna,Kaduna,94.84,74.3,0,equipment_fault,3G,352
WAR-3109,2025-09-20,Glo,Warri,Gombe,90.73,133.49,0,equipment_fault,4G,488
ONI-5935,2025-09-29,Glo,Onitsha,Bauchi,97.82,31.39,1,,4G,0
LAG-1205,2025-09-03,9mobile,Lagos,Zamfara,96.86,45.22,5,,4G,0
ONI-2840,2025-09-08,Airtel,Onitsha,Edo,94.37,81.07,3,equipment_fault,4G,258
JOS-5871,2025-09-03,MTN,Jos,Imo,88.44,166.46,0,fiber_cut,4G,82
BEN-5411,2025-09-09,9mobile,Benin City,Osun,91.16,127.3,0,weather,4G,172
IBA-1313,2025-09-12,Glo,Ibadan,Nasarawa,95.91,58.9,3,,4G,0
IBA-3375,2025-09-25,MTN,Ibadan,Cross River,85.89,203.18,3,fiber_cut,3G,193
ABA-5654,2025-10-01,MTN,Aba,Kogi,87.66,177.7,3,power_failure,3G,313
BEN-3108,2025-09-26,MTN,Benin City,Ogun,94.44,80.06,4,power_failure,4G,482
ABA-8905,2025-09-13,MTN,Aba,FCT,88.06,171.94,0,power_failure,4G,474
ABU-4048,2025-09-20,9mobile,Abuja,Osun,95.21,68.98,5,,2G,0
WAR-3624,2025-09-18,Glo,Warri,Kaduna,97.18,40.61,3,,5G,0
WAR-8857,2025-09-30,Airtel,Warri,Nasarawa,99.68,4.61,0,,4G,0
LAG-4762,2025-09-30,9mobile,Lagos,Gombe,94.42,80.35,1,power_failure,3G,441
JOS-5392,2025-09-20,9mobile,Jos,Ekiti,91.36,124.42,1,fiber_cut,4G,447
CAL-3217,2025-09-29,Glo,Calabar,Ondo,88.14,170.78,1,weather,3G,82
POR-6910,2025-09-07,9mobile,Port Harcourt,Abia,97.48,36.29,4,,4G,0
KAN-8848,2025-10-01,Glo,Kano,Kaduna,93.56,92.74,1,maintenance,3G,299
ABA-6494,2025-09-22,MTN,Aba,Bauchi,91.29,125.42,3,power_failure,4G,204
IBA-2063,2025-09-15,Airtel,Ibadan,Kwara,85.4,210.24,5,weather,2G,287
BEN-5667,2025-09-03,MTN,Benin City,Kwara,90.72,133.63,0,maintenance,4G,208
ABE-6837,2025-09-13,Airtel,Abeokuta,Borno,88.12,171.07,2,equipment_fault,4G,327
CAL-7980,2025-09-13,9mobile,Calabar,Taraba,93.41,94.9,0,equipment_fault,4G,340
ABA-4188,2025-09-17,Glo,Aba,Oyo,88.78,161.57,3,power_failure,4G,384
ABA-8608,2025-09-06,9mobile,Aba,Katsina,88.0,172.8,2,power_failure,4G,349
POR-2921,2025-09-05,9mobile,Port Harcourt,Imo,99.71,4.18,0,,5G,0
KAN-4548,2025-09-18,9mobile,Kano,Lagos,98.09,27.5,1,,3G,0
ABE-5049,2025-10-01,MTN,Abeokuta,Sokoto,95.67,62.35,4,,3G,0
ABA-6209,2025-09-03,Glo,Aba,Kogi,88.98,158.69,2,fiber_cut,4G,328
ONI-2672,2025-09-20,MTN,Onitsha,Rivers,87.91,174.1,1,power_failure,4G,97
ABA-6269,2025-09-20,Glo,Aba,Taraba,95.17,69.55,1,,3G,0
ABA-5386,2025-09-02,Glo,Aba,Ebonyi,99.63,5.33,0,,3G,0
KAN-5648,2025-09-16,Airtel,Kano,Kogi,96.05,56.88,0,,4G,0
LAG-6111,2025-09-14,Glo,Lagos,Yobe,87.46,180.58,0,power_failure,4G,168
ABU-1199,2025-09-09,Glo,Abuja,Ondo,94.92,73.15,4,power_failure,3G,100
KAD-7011,2025-09-26,9mobile,Kaduna,Jigawa,96.05,56.88,5,,3G,0
ABU-9793,2025-09-20,Airtel,Abuja,Ondo,88.35,167.76,3,maintenance,4G,222
ILO-8491,2025-09-30,MTN,Ilorin,FCT,91.48,122.69,1,equipment_fault,4G,315
CAL-7599,2025-09-05,Airtel,Calabar,Adamawa,94.57,78.19,1,fiber_cut,4G,372
JOS-7208,2025-09-27,MTN,Jos,Kano,94.57,78.19,3,maintenance,4G,201
ABA-3730,2025-09-24,Glo,Aba,Adamawa,87.55,179.28,4,power_failure,4G,384
POR-6676,2025-09-12,9mobile,Port Harcourt,Ogun,95.71,61.78,3,,4G,0
WAR-2522,2025-09-18,Glo,Warri,Kaduna,86.84,189.5,4,power_failure,4G,416
ENU-2511,2025-09-20,Glo,Enugu,Enugu,97.66,33.7,2,,4G,0
ABA-5197,2025-09-14,Airtel,Aba,Osun,94.86,74.02,0,maintenance,3G,242
ILO-8467,2025-09-12,Glo,Ilorin,Cross River,94.81,74.74,3,power_failure,4G,388
IBA-1637,2025-09-30,MTN,Ibadan,Jigawa,94.07,85.39,4,fiber_cut,4G,112
BEN-6716,2025-09-30,Airtel,Benin City,Kano,87.77,176.11,5,power_failure,4G,139
POR-7765,2025-09-25,Airtel,Port Harcourt,Katsina,86.3,197.28,1,fiber_cut,3G,135
WAR-7641,2025-10-01,Glo,Warri,Ebonyi,86.23,198.29,5,power_failure,4G,68
ONI-5022,2025-09-25,9mobile,Onitsha,Ekiti,87.74,176.54,2,power_failure,3G,190
KAN-7885,2025-09-11,MTN,Kano,Kano,95.32,67.39,3,,4G,0
IBA-1605,2025-09-30,Airtel,Ibadan,Benue,89.52,150.91,4,power_failure,3G,481
WAR-6191,2025-09-12,MTN,Warri,Delta,90.7,133.92,3,power_failure,4G,293
POR-1422,2025-09-14,MTN,Port Harcourt,Kwara,93.58,92.45,5,power_failure,4G,189
WAR-3278,2025-09-06,9mobile,Warri,Niger,98.6,20.16,1,,3G,0
ENU-1299,2025-09-23,Glo,Enugu,Enugu,94.46,79.78,1,weather,4G,279
CAL-5253,2025-09-29,Airtel,Calabar,Katsina,96.42,51.55,1,,5G,0
POR-6530,2025-09-25,Glo,Port Harcourt,Yobe,99.85,2.16,0,,4G,0
BEN-1668,2025-09-04,Glo,Benin City,Kano,99.11,12.82,0,,4G,0
ONI-8498,2025-10-01,MTN,Onitsha,Katsina,85.83,204.05,5,power_failure,4G,341
ONI-7702,2025-09-07,Airtel,Onitsha,Kebbi,93.34,95.9,4,power_failure,4G,137
ABE-6177,2025-09-18,Airtel,Abeokuta,Zamfara,98.67,19.15,2,,4G,0
KAN-3218,2025-09-04,Glo,Kano,Gombe,87.64,177.98,3,equipment_fault,4G,366
ENU-7681,2025-09-19,Glo,Enugu,Oyo,92.07,114.19,5,maintenance,4G,354
KAD-9767,2025-09-11,Airtel,Kaduna,Abia,86.22,198.43,1,maintenance,3G,470
ABU-3919,2025-09-14,Airtel,Abuja,Gombe,85.38,210.53,1,equipment_fault,2G,234
WAR-2255,2025-09-18,9mobile,Warri,Anambra,93.26,97.06,3,fiber_cut,3G,440
ENU-3422,2025-09-01,Airtel,Enugu,Kano,93.67,91.15,3,weather,3G,375
ABA-9372,2025-09-13,MTN,Aba,Imo,98.75,18.0,2,,5G,0
ENU-7574,2025-09-15,9mobile,Enugu,Benue,90.99,129.74,1,power_failure,4G,109
ABU-1296,2025-09-17,Glo,Abuja,Ebonyi,98.93,15.41,4,,4G,0
ONI-5122,2025-09-11,Airtel,Onitsha,Adamawa,93.53,93.17,3,weather,3G,339
ABE-7996,2025-09-07,MTN,Abeokuta,Rivers,94.45,79.92,5,equipment_fault,3G,353
IBA-3158,2025-09-17,Glo,Ibadan,Plateau,90.57,135.79,2,power_failure,3G,267
WAR-8786,2025-09-06,MTN,Warri,Yobe,99.25,10.8,0,,4G,0
ONI-3494,2025-09-18,9mobile,Onitsha,Taraba,88.01,172.66,5,equipment_fault,4G,438
KAN-9741,2025-09-07,Glo,Kano,Ekiti,92.39,109.58,3,maintenance,4G,443
ABE-9929,2025-09-13,9mobile,Abeokuta,Enugu,93.04,100.22,2,power_failure,4G,242
KAD-5041,2025-09-07,Glo,Kaduna,Rivers,96.6,48.96,1,,4G,0
BEN-9288,2025-09-08,9mobile,Benin City,Kano,99.44,8.06,0,,4G,0
WAR-5398,2025-09-02,Glo,Warri,Plateau,88.25,169.2,4,fiber_cut,3G,380
LAG-7002,2025-09-26,Glo,Lagos,Abia,93.79,89.42,5,power_failure,3G,297
KAD-6208,2025-09-21,9mobile,Kaduna,Ogun,95.82,60.19,1,,4G,0
ILO-6958,2025-09-29,9mobile,Ilorin,Anambra,90.13,142.13,4,equipment_fault,3G,213
ABU-2334,2025-09-24,MTN,Abuja,Ekiti,88.26,169.06,1,power_failure,2G,474
ABA-7466,2025-09-07,MTN,Aba,Cross River,86.24,198.14,3,power_failure,4G,476
KAD-8126,2025-09-22,9mobile,Kaduna,Abia,89.35,153.36,4,weather,3G,229
ABU-8736,2025-09-20,9mobile,Abuja,Kogi,85.55,208.08,2,equipment_fault,4G,62
ABA-7218,2025-09-17,MTN,Aba,Kaduna,85.05,215.28,3,maintenance,4G,299
CAL-3730,2025-09-25,MTN,Calabar,Cross River,86.77,190.51,0,maintenance,3G,122
WAR-2908,2025-09-01,Glo,Warri,Oyo,91.21,126.58,5,equipment_fault,4G,470
IBA-7409,2025-09-02,Glo,Ibadan,Kano,97.18,40.61,1,,4G,0
BEN-7812,2025-09-23,Airtel,Benin City,Borno,98.45,22.32,4,,4G,0
ONI-6346,2025-09-13,MTN,Onitsha,Abia,95.29,67.82,1,,4G,0
ENU-1076,2025-09-29,Glo,Enugu,Kogi,90.8,132.48,5,weather,4G,316
BEN-8593,2025-09-30,Glo,Benin City,Bayelsa,95.5,64.8,5,,3G,0
ILO-5069,2025-10-01,9mobile,Ilorin,Imo,97.24,39.74,1,,3G,0
ABU-9260,2025-09-25,Glo,Abuja,Lagos,89.31,153.94,5,power_failure,4G,493
ONI-1003,2025-09-26,Glo,Onitsha,Jigawa,96.65,48.24,2,,4G,0
KAD-7861,2025-09-09,MTN,Kaduna,Kaduna,96.79,46.22,2,,4G,0
POR-8671,2025-09-28,Airtel,Port Harcourt,Kebbi,87.77,176.11,1,power_failure,4G,295
ENU-6125,2025-09-06,Airtel,Enugu,Imo,92.03,114.77,1,equipment_fault,4G,229
ABU-7586,2025-09-15,9mobile,Abuja,Katsina,88.61,164.02,3,maintenance,4G,247
ILO-6686,2025-09-02,Glo,Ilorin,Bauchi,91.88,116.93,2,power_failure,3G,461
KAN-6122,2025-10-01,Glo,Kano,Niger,95.03,71.57,2,,4G,0
KAN-5687,2025-09-14,Glo,Kano,Kano,89.99,144.14,3,equipment_fault,4G,429
ABU-9970,2025-09-04,MTN,Abuja,Niger,85.53,208.37,2,weather,3G,449
ENU-3950,2025-09-14,9mobile,Enugu,Delta,93.79,89.42,2,weather,4G,476
IBA-5803,2025-09-11,Glo,Ibadan,Nasarawa,92.06,114.34,3,equipment_fault,4G,278
LAG-5618,2025-09-30,Airtel,Lagos,Jigawa,87.59,178.7,5,power_failure,4G,452
WAR-2753,2025-10-01,Glo,Warri,Sokoto,85.68,206.21,4,maintenance,3G,182
BEN-4870,2025-09-27,Airtel,Benin City,Plateau,94.01,86.26,0,equipment_fault,4G,86
CAL-9611,2025-09-08,9mobile,Calabar,Benue,96.18,55.01,2,,4G,0
CAL-9524,2025-09-24,MTN,Calabar,Taraba,95.37,66.67,0,,4G,0
