row_id,tower_id,obs_date,operator,city,state,uptime_percentage,downtime_minutes,outage_count,outage_reason,network_type,avg_users_affected,outage_severity,reliability_status,high_risk_flag,downtime_hours,observation_month,day_of_week
2,KAD-7525,2025-09-12,9mobile,Kaduna,Bayelsa,91.57,121.39,4,fiber_cut,4G,145,High,Fair,1,2.02,Sep,Friday
4,ABU-9612,2025-09-16,Glo,Abuja,Niger,90.74,133.34,0,power_failure,5G,54,High,Fair,1,2.22,Sep,Tuesday
7,JOS-6889,2025-09-27,MTN,Jos,Jigawa,92.13,113.33,5,equipment_fault,4G,429,High,Fair,1,1.89,Sep,Saturday
9,ABE-2882,2025-09-19,Glo,Abeokuta,Lagos,93.02,100.51,1,power_failure,4G,363,Medium,Fair,0,1.68,Sep,Friday
10,ABA-5706,2025-09-15,Glo,Aba,Niger,86.29,197.42,5,power_failure,4G,119,High,Poor,1,3.29,Sep,Monday
11,BEN-7971,2025-09-16,Glo,Benin City,Lagos,92.94,101.66,1,weather,4G,69,Medium,Fair,0,1.69,Sep,Tuesday
12,CAL-8507,2025-09-12,Airtel,Calabar,Enugu,88.83,160.85,1,power_failure,4G,220,High,Poor,1,2.68,Sep,Friday
15,KAD-7991,2025-09-03,Airtel,Kaduna,Kaduna,94.84,74.30,0,equipment_fault,3G,352,Medium,Fair,0,1.24,Sep,Wednesday
16,WAR-3109,2025-09-20,Glo,Warri,Gombe,90.73,133.49,0,equipment_fault,4G,488,High,Fair,1,2.22,Sep,Saturday
19,ONI-2840,2025-09-08,Airtel,Onitsha,Edo,94.37,81.07,3,equipment_fault,4G,258,Medium,Fair,0,1.35,Sep,Monday
20,JOS-5871,2025-09-03,MTN,Jos,Imo,88.44,166.46,0,fiber_cut,4G,82,High,Poor,1,2.77,Sep,Wednesday
21,BEN-5411,2025-09-09,9mobile,Benin City,Osun,91.16,127.30,0,weather,4G,172,High,Fair,1,2.12,Sep,Tuesday
23,IBA-3375,2025-09-25,MTN,Ibadan,Cross River,85.89,203.18,3,fiber_cut,3G,193,High,Poor,1,3.39,Sep,Thursday
24,ABA-5654,2025-10-01,MTN,Aba,Kogi,87.66,177.70,3,power_failure,3G,313,High,Poor,1,2.96,Oct,Wednesday
25,BEN-3108,2025-09-26,MTN,Benin City,Ogun,94.44,80.06,4,power_failure,4G,482,High,Fair,1,1.33,Sep,Friday
26,ABA-8905,2025-09-13,MTN,Aba,FCT,88.06,171.94,0,power_failure,4G,474,High,Poor,1,2.87,Sep,Saturday
30,LAG-4762,2025-09-30,9mobile,Lagos,Gombe,94.42,80.35,1,power_failure,3G,441,Medium,Fair,0,1.34,Sep,Tuesday
31,JOS-5392,2025-09-20,9mobile,Jos,Ekiti,91.36,124.42,1,fiber_cut,4G,447,High,Fair,1,2.07,Sep,Saturday
32,CAL-3217,2025-09-29,Glo,Calabar,Ondo,88.14,170.78,1,weather,3G,82,High,Poor,1,2.85,Sep,Monday
34,KAN-8848,2025-10-01,Glo,Kano,Kaduna,93.56,92.74,1,maintenance,3G,299,Medium,Fair,0,1.55,Oct,Wednesday
35,ABA-6494,2025-09-22,MTN,Aba,Bauchi,91.29,125.42,3,power_failure,4G,204,High,Fair,1,2.09,Sep,Monday
73881,ONI-4558,2025-09-25,MTN,Onitsha,Borno,92.28,111.17,5,equipment_fault,4G,249,High,Fair,1,1.85,Sep,Thursday
73882,WAR-8534,2025-09-29,Airtel,Warri,Jigawa,93.26,97.06,0,equipment_fault,4G,398,Medium,Fair,0,1.62,Sep,Monday
73883,JOS-3139,2025-09-05,9mobile,Jos,Edo,90.03,143.57,5,equipment_fault,5G,116,High,Fair,1,2.39,Sep,Friday
73886,IBA-1871,2025-09-29,9mobile,Ibadan,Kano,88.76,161.86,0,fiber_cut,4G,496,High,Poor,1,2.70,Sep,Monday
73887,LAG-4270,2025-09-08,Airtel,Lagos,Jigawa,94.07,85.39,3,fiber_cut,4G,248,Medium,Fair,0,1.42,Sep,Monday
73888,ABE-1669,2025-09-22,Airtel,Abeokuta,Kebbi,86.63,192.53,0,power_failure,4G,311,High,Poor,1,3.21,Sep,Monday
73889,ABA-7193,2025-09-15,MTN,Aba,Taraba,90.14,141.98,1,power_failure,4G,82,High,Fair,1,2.37,Sep,Monday
73891,ILO-3970,2025-09-03,Airtel,Ilorin,Lagos,86.06,200.74,5,equipment_fault,4G,364,High,Poor,1,3.35,Sep,Wednesday
73892,LAG-1573,2025-09-22,Airtel,Lagos,Akwa Ibom,85.35,210.96,1,maintenance,3G,275,High,Poor,1,3.52,Sep,Monday
73895,IBA-8599,2025-09-15,9mobile,Ibadan,Akwa Ibom,86.07,200.59,5,maintenance,4G,384,High,Poor,1,3.34,Sep,Monday
73898,ABA-8034,2025-09-07,MTN,Aba,Zamfara,88.55,164.88,2,weather,4G,254,High,Poor,1,2.75,Sep,Sunday
28195,ABE-4486,2025-09-10,Airtel,Abeokuta,Bayelsa,85.62,207.07,3,power_failure,4G,438,High,Poor,1,3.45,Sep,Wednesday
8174,WAR-3847,2025-09-20,Airtel,Warri,Benue,89.87,145.87,3,maintenance,3G,74,High,Poor,1,2.43,Sep,Saturday
8175,ENU-6578,2025-09-28,Glo,Enugu,Gombe,89.17,155.95,5,power_failure,4G,344,High,Poor,1,2.60,Sep,Sunday
36,IBA-2063,2025-09-15,Airtel,Ibadan,Kwara,85.40,210.24,5,weather,2G,287,High,Poor,1,3.50,Sep,Monday
37,BEN-5667,2025-09-03,MTN,Benin City,Kwara,90.72,133.63,0,maintenance,4G,208,High,Fair,1,2.23,Sep,Wednesday
64287,KAD-3080,2025-09-10,9mobile,Kaduna,Kogi,91.08,128.45,0,power_failure,4G,324,High,Fair,1,2.14,Sep,Wednesday
64288,ENU-5179,2025-09-26,MTN,Enugu,Rivers,93.87,88.27,0,equipment_fault,3G,423,Medium,Fair,0,1.47,Sep,Friday
64289,ILO-6106,2025-09-03,Airtel,Ilorin,Niger,91.59,121.10,2,power_failure,4G,279,High,Fair,1,2.02,Sep,Wednesday
64290,KAD-1016,2025-09-02,9mobile,Kaduna,Ondo,90.12,142.27,3,power_failure,2G,274,High,Fair,1,2.37,Sep,Tuesday
64292,ENU-9130,2025-09-12,MTN,Enugu,Kogi,92.57,106.99,4,maintenance,4G,443,High,Fair,1,1.78,Sep,Friday
18897,IBA-6387,2025-09-21,MTN,Ibadan,Benue,87.88,174.53,0,power_failure,4G,409,High,Poor,1,2.91,Sep,Sunday
18899,POR-1916,2025-09-28,9mobile,Port Harcourt,Rivers,86.49,194.54,5,weather,4G,106,High,Poor,1,3.24,Sep,Sunday
18900,ILO-8693,2025-09-06,Airtel,Ilorin,Kaduna,92.83,103.25,0,maintenance,4G,276,Medium,Fair,0,1.72,Sep,Saturday
18901,CAL-7001,2025-09-11,Glo,Calabar,Rivers,93.05,100.08,5,equipment_fault,4G,465,High,Fair,1,1.67,Sep,Thursday
18902,JOS-4363,2025-09-16,9mobile,Jos,Zamfara,90.90,131.04,0,equipment_fault,4G,122,High,Fair,1,2.18,Sep,Tuesday
18903,ABE-3315,2025-09-02,MTN,Abeokuta,Yobe,89.99,144.14,5,power_failure,3G,335,High,Poor,1,2.40,Sep,Tuesday
18904,ONI-1305,2025-09-10,Glo,Onitsha,Edo,88.91,159.70,0,maintenance,3G,385,High,Poor,1,2.66,Sep,Wednesday
18905,KAD-8673,2025-09-02,MTN,Kaduna,Delta,91.14,127.58,3,equipment_fault,5G,425,High,Fair,1,2.13,Sep,Tuesday
8176,ABE-9571,2025-09-22,Glo,Abeokuta,Niger,88.95,159.12,4,power_failure,3G,113,High,Poor,1,2.65,Sep,Monday
8177,IBA-1282,2025-09-08,Airtel,Ibadan,Kaduna,93.78,89.57,3,weather,5G,62,Medium,Fair,0,1.49,Sep,Monday
8178,ABU-9643,2025-09-07,MTN,Abuja,Rivers,93.28,96.77,4,weather,5G,290,High,Fair,1,1.61,Sep,Sunday
8179,JOS-8352,2025-09-10,Glo,Jos,Ebonyi,94.58,78.05,5,weather,4G,157,High,Fair,1,1.30,Sep,Wednesday
8180,KAN-2902,2025-09-13,Airtel,Kano,Rivers,91.66,120.10,0,maintenance,3G,163,High,Fair,1,2.00,Sep,Saturday
8181,BEN-3785,2025-09-27,MTN,Benin City,Yobe,94.67,76.75,1,power_failure,5G,420,Medium,Fair,0,1.28,Sep,Saturday
8182,CAL-5280,2025-09-12,Glo,Calabar,Akwa Ibom,90.47,137.23,5,power_failure,4G,116,High,Fair,1,2.29,Sep,Friday
8183,CAL-5327,2025-09-12,MTN,Calabar,Kebbi,86.12,199.87,4,maintenance,4G,286,High,Poor,1,3.33,Sep,Friday
8185,ENU-5088,2025-09-09,9mobile,Enugu,Nasarawa,88.84,160.70,1,equipment_fault,3G,430,High,Poor,1,2.68,Sep,Tuesday
8186,BEN-2407,2025-09-10,9mobile,Benin City,Zamfara,90.39,138.38,2,power_failure,5G,454,High,Fair,1,2.31,Sep,Wednesday
8187,IBA-3105,2025-09-16,9mobile,Ibadan,Edo,92.79,103.82,2,maintenance,4G,405,Medium,Fair,0,1.73,Sep,Tuesday
52689,ABE-8152,2025-09-22,9mobile,Abeokuta,Kogi,86.96,187.78,1,equipment_fault,4G,108,High,Poor,1,3.13,Sep,Monday
52690,ENU-5335,2025-09-29,Glo,Enugu,Delta,91.80,118.08,1,power_failure,4G,184,Medium,Fair,0,1.97,Sep,Monday
52691,ONI-6140,2025-09-22,Airtel,Onitsha,Jigawa,90.03,143.57,2,power_failure,4G,59,High,Fair,1,2.39,Sep,Monday
52692,ABU-7192,2025-09-11,Airtel,Abuja,Ekiti,92.73,104.69,0,fiber_cut,4G,170,Medium,Fair,0,1.74,Sep,Thursday
52693,IBA-3847,2025-09-25,9mobile,Ibadan,Abia,94.76,75.46,0,power_failure,4G,373,Medium,Fair,0,1.26,Sep,Thursday
52695,KAD-4293,2025-09-27,9mobile,Kaduna,Sokoto,86.84,189.50,0,power_failure,4G,411,High,Poor,1,3.16,Sep,Saturday
52697,ABA-3992,2025-09-06,MTN,Aba,Cross River,85.61,207.22,0,power_failure,4G,479,High,Poor,1,3.45,Sep,Saturday
52698,KAN-4947,2025-09-11,Airtel,Kano,Taraba,93.06,99.94,0,equipment_fault,4G,134,Medium,Fair,0,1.67,Sep,Thursday
52699,POR-1471,2025-09-11,Airtel,Port Harcourt,Plateau,86.42,195.55,5,power_failure,3G,223,High,Poor,1,3.26,Sep,Thursday
52702,ONI-6570,2025-09-17,Glo,Onitsha,FCT,89.52,150.91,3,weather,4G,358,High,Poor,1,2.52,Sep,Wednesday
28198,ENU-3774,2025-09-28,Glo,Enugu,Niger,90.49,136.94,1,equipment_fault,4G,353,High,Fair,1,2.28,Sep,Sunday
28200,KAN-5139,2025-09-27,MTN,Kano,Adamawa,92.36,110.02,1,weather,4G,74,Medium,Fair,0,1.83,Sep,Saturday
28201,CAL-6027,2025-09-14,Glo,Calabar,Kano,91.87,117.07,5,power_failure,4G,301,High,Fair,1,1.95,Sep,Sunday
28202,BEN-6846,2025-09-06,MTN,Benin City,Osun,86.33,196.85,0,maintenance,4G,87,High,Poor,1,3.28,Sep,Saturday
28203,ABE-5171,2025-09-15,9mobile,Abeokuta,FCT,85.34,211.10,4,maintenance,3G,101,High,Poor,1,3.52,Sep,Monday
18906,ENU-7123,2025-09-17,9mobile,Enugu,Cross River,93.89,87.98,4,maintenance,2G,425,High,Fair,1,1.47,Sep,Wednesday
18907,KAN-8438,2025-09-09,Glo,Kano,Abia,88.17,170.35,5,power_failure,4G,179,High,Poor,1,2.84,Sep,Tuesday
38,ABE-6837,2025-09-13,Airtel,Abeokuta,Borno,88.12,171.07,2,equipment_fault,4G,327,High,Poor,1,2.85,Sep,Saturday
43508,BEN-8161,2025-09-25,Glo,Benin City,Delta,87.88,174.53,4,maintenance,4G,401,High,Poor,1,2.91,Sep,Thursday
43510,IBA-4793,2025-09-11,MTN,Ibadan,Zamfara,86.07,200.59,4,maintenance,4G,233,High,Poor,1,3.34,Sep,Thursday
43511,ABE-4936,2025-09-17,Glo,Abeokuta,Bayelsa,88.15,170.64,5,equipment_fault,3G,148,High,Poor,1,2.84,Sep,Wednesday
43512,ABA-9320,2025-09-08,Glo,Aba,Nasarawa,85.95,202.32,0,power_failure,4G,365,High,Poor,1,3.37,Sep,Monday
43513,ABU-9213,2025-09-13,Glo,Abuja,Jigawa,88.20,169.92,2,equipment_fault,3G,489,High,Poor,1,2.83,Sep,Saturday
43514,CAL-3126,2025-09-23,MTN,Calabar,Bauchi,93.37,95.47,1,power_failure,4G,420,Medium,Fair,0,1.59,Sep,Tuesday
43515,ILO-9376,2025-09-18,9mobile,Ilorin,Niger,90.13,142.13,4,power_failure,3G,168,High,Fair,1,2.37,Sep,Thursday
43517,ABA-4486,2025-09-28,9mobile,Aba,Osun,87.65,177.84,2,equipment_fault,4G,475,High,Poor,1,2.96,Sep,Sunday
43521,ABA-8748,2025-09-21,Glo,Aba,Kaduna,90.65,134.64,3,maintenance,4G,358,High,Fair,1,2.24,Sep,Sunday
43523,WAR-3601,2025-09-13,9mobile,Warri,Akwa Ibom,89.64,149.18,3,fiber_cut,3G,349,High,Poor,1,2.49,Sep,Saturday
43524,ABA-6564,2025-09-28,Airtel,Aba,Nasarawa,93.51,93.46,5,power_failure,4G,193,High,Fair,1,1.56,Sep,Sunday
43526,ILO-1879,2025-09-26,MTN,Ilorin,Yobe,86.35,196.56,5,fiber_cut,4G,125,High,Poor,1,3.28,Sep,Friday
43527,ONI-4184,2025-09-07,MTN,Onitsha,Rivers,92.27,111.31,4,power_failure,4G,289,High,Fair,1,1.86,Sep,Sunday
43529,POR-3156,2025-09-23,MTN,Port Harcourt,Imo,94.96,72.58,5,power_failure,4G,198,High,Fair,1,1.21,Sep,Tuesday
43532,ONI-7235,2025-09-10,Glo,Onitsha,Ebonyi,91.03,129.17,3,power_failure,4G,358,High,Fair,1,2.15,Sep,Wednesday
18908,POR-3744,2025-09-24,MTN,Port Harcourt,Lagos,92.80,103.68,0,equipment_fault,4G,377,Medium,Fair,0,1.73,Sep,Wednesday
18909,POR-6005,2025-09-03,9mobile,Port Harcourt,Zamfara,92.66,105.70,2,maintenance,4G,386,Medium,Fair,0,1.76,Sep,Wednesday
28205,ABA-7732,2025-09-24,9mobile,Aba,Bauchi,93.96,86.98,0,power_failure,3G,279,Medium,Fair,0,1.45,Sep,Wednesday
7874,ILO-4617,2025-09-29,MTN,Ilorin,Enugu,99.62,5.47,0,unknown,4G,0,Low,Excellent,0,0.09,Sep,Monday
28206,ABU-8065,2025-09-14,9mobile,Abuja,Jigawa,87.10,185.76,4,maintenance,4G,83,High,Poor,1,3.10,Sep,Sunday
