"tower_id","city","mode_operator","distinct_operator_count","mode_state","distinct_state_count","mode_network_type","distinct_network_type_count","total_observations","avg_uptime_percentage","total_downtime_minutes","total_outage_count","total_users_affected","impactful_outage_observations","repeat_outage_indicator"
"ABA-1002","Aba","9mobile","1","Kogi","1","4G","1","1","94.22","83.23","1","135","1",0
"ABA-1003","Aba","Airtel","3","Delta","3","4G","1","3","96.34","158.11","7","65","1",0
"ABA-1006","Aba","MTN","1","Plateau","1","4G","1","1","91.33","124.85","2","212","1",0
"ABA-1009","Aba","9mobile","1","Adamawa","1","3G","1","1","94.80","74.88","3","320","1",0
"ABA-1010","Aba","9mobile","1","Kwara","1","4G","1","1","98.49","21.74","4","0","0",0
"ABA-1011","Aba","9mobile","1","Jigawa","1","4G","1","1","87.81","175.54","4","225","1",0
"ABA-1012","Aba","Airtel","1","Rivers","1","4G","1","1","92.56","107.14","2","182","1",0
"ABA-1013","Aba","Glo","1","Niger","1","4G","1","1","95.75","61.20","1","0","0",0
"ABA-1016","Aba","Glo","1","Kogi","1","4G","1","1","97.18","40.61","0","0","0",0
"ABA-1017","Aba","9mobile","2","Ekiti","2","4G","1","2","90.63","270.00","3","588","2",1
"ABA-1019","Aba","9mobile","1","Zamfara","1","4G","1","1","85.54","208.22","2","317","1",0
"ABA-1022","Aba","MTN","1","Abia","1","4G","1","1","87.88","174.53","1","300","1",0
"ABA-1023","Aba","Airtel","1","Akwa Ibom","1","5G","1","1","85.97","202.03","5","442","1",0
"ABA-1025","Aba","Airtel","2","Rivers","2","3G","2","2","94.29","164.45","7","151","1",0
"ABA-1028","Aba","Airtel","2","Edo","1","3G","2","2","89.06","315.21","1","477","2",1
"ABA-1029","Aba","MTN","1","Imo","1","4G","1","1","85.92","202.75","2","189","1",0
"ABA-1030","Aba","9mobile","1","Bayelsa","1","4G","1","1","88.27","168.91","3","248","1",0
"ABA-1034","Aba","Glo","1","Ogun","1","4G","1","1","87.11","185.62","4","398","1",0
"ABA-1035","Aba","9mobile","1","Borno","1","3G","1","1","88.84","160.70","3","157","1",0
"ABA-1039","Aba","Airtel","1","Bayelsa","1","4G","1","1","96.22","54.43","1","0","0",0
"ABA-1040","Aba","Glo","1","Bauchi","1","3G","1","1","88.23","169.49","0","394","1",0
"ABA-1041","Aba","Airtel","1","Benue","2","3G","2","2","95.24","137.23","3","269","1",0
"ABA-1043","Aba","Airtel","1","Kano","1","4G","1","1","97.67","33.55","3","0","0",0
"ABA-1045","Aba","9mobile","2","Bauchi","2","3G","2","2","95.88","118.66","1","280","1",0
"ABA-1047","Aba","Airtel","2","Edo","2","4G","2","3","90.02","430.99","12","868","3",1
"ABA-1048","Aba","Airtel","1","Nasarawa","1","4G","1","1","97.59","34.70","3","0","0",0
"ABA-1049","Aba","9mobile","1","Delta","1","4G","1","1","92.27","111.31","0","108","1",0
"ABA-1051","Aba","MTN","1","Niger","1","3G","1","1","95.40","66.24","4","0","0",0
"ABA-1052","Aba","9mobile","1","Kwara","1","4G","1","1","92.35","110.16","2","345","1",0
"ABA-1055","Aba","9mobile","3","Adamawa","3","3G","3","3","96.04","171.08","10","472","1",0
"ABA-1056","Aba","Glo","1","Osun","1","4G","1","1","98.09","27.50","1","0","0",0
"ABA-1058","Aba","MTN","1","Zamfara","1","3G","1","1","89.90","145.44","2","272","1",0
"ABA-1059","Aba","Airtel","1","Jigawa","1","5G","1","1","86.21","198.58","2","446","1",0
"ABA-1060","Aba","9mobile","3","Akwa Ibom","3","4G","2","3","89.03","473.77","8","797","2",1
"ABA-1065","Aba","Airtel","1","Abia","1","3G","1","1","88.52","165.31","3","223","1",0
"ABA-1066","Aba","9mobile","1","Borno","1","3G","1","1","95.13","70.13","4","0","0",0
"ABA-1069","Aba","9mobile","1","Lagos","1","4G","1","1","95.16","69.70","0","0","0",0
"ABA-1071","Aba","Glo","1","Nasarawa","1","4G","1","1","95.73","61.49","3","0","0",0
"ABA-1073","Aba","9mobile","1","Lagos","1","5G","1","1","86.10","200.16","1","270","1",0
"ABA-1074","Aba","9mobile","1","Kano","1","3G","1","1","89.61","149.62","3","205","1",0
"ABA-1081","Aba","MTN","1","Ogun","1","3G","1","1","96.79","46.22","2","0","0",0
"ABA-1083","Aba","MTN","1","Adamawa","1","3G","1","1","99.01","14.26","0","0","0",0
"ABA-1085","Aba","9mobile","1","Ogun","1","4G","1","1","86.14","199.58","2","455","1",0
"ABA-1086","Aba","9mobile","1","Jigawa","1","4G","1","1","86.74","190.94","0","296","1",0
"ABA-1087","Aba","Airtel","1","Adamawa","2","3G","2","2","89.55","300.96","4","787","2",1
