tower_id,operator,state,city,network_type,latest_uptime,historical_total_downtime_minutes,historical_total_outage_count,site_reliability_risk_score,risk_category_final,predicted_risk_probability,predicted_risk_category,recommended_priority
KAN-2022,Airtel,Akwa Ibom,Kano,4G,97.62,466.27,22,43.996620370370366,Medium Risk,0.6362817541702417,High,1
ABU-6099,9mobile,Abia,Abuja,3G,96.87,243.5,19,24.504050925925913,Medium Risk,0.6337947554419847,High,2
ABE-3091,9mobile,Akwa Ibom,Abeokuta,4G,89.82,527.61,20,68.10815972222221,High Risk,0.6154145864594491,High,3
ABE-2150,MTN,Kwara,Abeokuta,4G,95.04,320.83,17,37.97910879629629,Medium Risk,0.6117052818846186,High,4
ABE-2634,MTN,Delta,Abeokuta,4G,93.53,192.39,17,23.27100694444445,Medium Risk,0.6107013545502885,High,5
ABE-5007,Airtel,Enugu,Abeokuta,4G,91.23,372.53,20,43.36671296296297,Medium Risk,0.6041624596041018,High,6
IBA-1364,MTN,Kebbi,Ibadan,4G,86.5,307.43,16,24.866377314814823,Medium Risk,0.6015865079064667,High,7
BEN-5837,Airtel,Katsina,Benin City,4G,88.45,461.38,20,42.15009259259257,Medium Risk,0.601435583216358,High,8
ABE-6244,Glo,Kebbi,Abeokuta,4G,90.73,323.0,17,47.59189814814815,Medium Risk,0.6013651283929751,High,9
KAN-8815,Airtel,Akwa Ibom,Kano,4G,98.96,561.32,19,60.27106481481482,High Risk,0.5997479791922707,High,10
ABE-5406,9mobile,Akwa Ibom,Abeokuta,4G,95.2,297.78999999999996,13,36.927700617283946,Medium Risk,0.599488462998259,High,11
ABE-1844,9mobile,Abia,Abeokuta,4G,86.19,460.65000000000003,18,56.55815972222222,Medium Risk,0.5977416822119516,High,12
CAL-4230,Glo,Akwa Ibom,Calabar,4G,96.04,447.55,16,47.39994212962962,Medium Risk,0.5970788194693762,High,13
JOS-4395,Airtel,Adamawa,Jos,4G,96.62,329.47,17,40.00410879629629,Medium Risk,0.5970674280207897,High,14
LAG-5504,Glo,Adamawa,Lagos,3G,97.58,140.55,15,10.84467592592592,Low Risk,0.597016467334598,High,15
ABE-8224,Airtel,Kwara,Abeokuta,4G,95.44,255.01999999999998,13,31.210956790123433,Medium Risk,0.596735675444591,High,16
ENU-3738,9mobile,Jigawa,Enugu,4G,98.39,322.84999999999997,15,49.644521604938284,Medium Risk,0.5961898555833234,High,17
JOS-1171,9mobile,Akwa Ibom,Jos,4G,93.76,382.18,16,53.84178240740739,Medium Risk,0.5948648991724769,High,18
ABU-1740,Airtel,Lagos,Abuja,4G,98.96,165.75,11,26.722453703703685,Medium Risk,0.5935957377926798,High,19
KAN-6022,Glo,Akwa Ibom,Kano,4G,88.0,434.59000000000003,16,50.79994212962964,Medium Risk,0.593461925282246,High,20
LAG-1893,Glo,Akwa Ibom,Lagos,4G,90.02,338.54,14,46.78873456790122,Medium Risk,0.5931119807036475,High,21
ILO-7647,9mobile,Akwa Ibom,Ilorin,4G,95.72,352.94,16,43.73738425925926,Medium Risk,0.5913710870181987,High,22
BEN-4420,9mobile,Ondo,Benin City,4G,90.57,260.78999999999996,14,43.355787037037054,Medium Risk,0.5907528598098022,High,23
ABU-5809,Airtel,Jigawa,Abuja,4G,98.81,113.91,9,27.63368055555555,Medium Risk,0.589646056379288,High,24
KAN-3386,Airtel,Abia,Kano,4G,98.18,247.97,15,30.55007716049384,Medium Risk,0.5891614372483477,High,25
JOS-4101,9mobile,Kaduna,Jos,4G,93.97,393.7,15,50.133449074074086,Medium Risk,0.58887650856889,High,26
ABA-3555,9mobile,Jigawa,Aba,3G,85.35,451.3,15,64.80570987654322,High Risk,0.5881654462165652,High,27
IBA-5189,9mobile,Anambra,Ibadan,4G,93.66,287.0,15,47.228086419753076,Medium Risk,0.5879665444556889,High,28
CAL-6924,Airtel,Akwa Ibom,Calabar,4G,92.81,395.14,15,37.8417824074074,Medium Risk,0.5877992532532058,High,29
KAN-3864,9mobile,Jigawa,Kano,4G,98.8,219.89,11,36.75007716049381,Medium Risk,0.5877395344508258,High,30
ABU-8910,9mobile,Delta,Abuja,4G,90.63,284.84000000000003,15,58.96141975308644,Medium Risk,0.587638041500722,High,31
ABE-9863,9mobile,Anambra,Abeokuta,4G,95.43,379.88,16,43.57106481481481,Medium Risk,0.587034450621848,High,32
IBA-1548,Glo,Lagos,Ibadan,4G,88.35,548.93,16,57.854224537037034,Medium Risk,0.5859423997688804,High,33
ABA-3542,Airtel,Jigawa,Aba,4G,98.48,196.99,10,25.099922839506178,Medium Risk,0.5859400814816248,High,34
POR-9638,Airtel,Adamawa,Port Harcourt,4G,93.72,321.26,14,50.555401234567896,Medium Risk,0.5852824040414383,High,35
LAG-2742,Airtel,Akwa Ibom,Lagos,4G,97.22,181.15,11,30.044367283950606,Medium Risk,0.5849561683064123,High,36
ABU-9921,9mobile,Jigawa,Abuja,3G,96.15,463.4,15,57.59351851851853,Medium Risk,0.5843485336068236,High,37
ABA-7945,Glo,Ondo,Aba,2G,97.04,360.86,12,53.477623456790134,Medium Risk,0.5842642919813804,High,38
LAG-9692,9mobile,Akwa Ibom,Lagos,2G,88.35,406.22,15,65.4276234567901,High Risk,0.5839836490777572,High,39
ABU-3975,Glo,Akwa Ibom,Abuja,4G,95.65,274.03,9,33.07770061728393,Medium Risk,0.5835180601979831,High,40
POR-7319,9mobile,Jigawa,Port Harcourt,4G,97.7,131.76,9,32.47499999999998,Medium Risk,0.5830140873666728,High,41
CAL-1904,Glo,Ekiti,Calabar,4G,95.74,209.09,15,31.866743827160477,Medium Risk,0.5829344990069052,High,42
ABU-4871,Glo,Ondo,Abuja,3G,97.9,67.39,9,7.799884259259265,Low Risk,0.5828889957892321,High,43
JOS-2976,Glo,Jigawa,Jos,4G,87.1,226.22,10,43.233101851851856,Medium Risk,0.5827037904809766,High,44
POR-2174,Airtel,Jigawa,Port Harcourt,4G,92.34,327.59,12,65.17739197530864,High Risk,0.5824121922946677,High,45
IBA-4305,MTN,Jigawa,Ibadan,3G,93.74,277.90999999999997,11,41.210725308641976,Medium Risk,0.582406053562833,High,46
ABE-5994,9mobile,Kaduna,Abeokuta,4G,94.26,144.15,9,20.57245370370369,Medium Risk,0.5817742667375007,High,47
ABA-7027,9mobile,Jigawa,Aba,4G,93.06,135.51,10,32.083680555555546,Medium Risk,0.5817030852298616,High,48
ABE-5741,Airtel,Ebonyi,Abeokuta,4G,95.78,283.4,13,31.233641975308647,Medium Risk,0.580843551563609,High,49
ABU-1409,Airtel,Ondo,Abuja,4G,98.49,109.86999999999999,8,27.066550925925924,Medium Risk,0.5806967773913578,High,50
LAG-8883,Airtel,Akwa Ibom,Lagos,4G,90.73,469.16,15,54.66273148148147,Medium Risk,0.5805931127983673,High,51
ABU-4568,9mobile,Ondo,Abuja,4G,98.02,149.32999999999998,8,40.558449074074076,Medium Risk,0.5805448472793139,High,52
POR-4861,MTN,Adamawa,Port Harcourt,4G,98.83,145.87,12,23.13881172839506,Medium Risk,0.5802669249964676,High,53
ABE-3907,Glo,Jigawa,Abeokuta,4G,92.07,164.45,8,33.133449074074086,Medium Risk,0.5802129442975432,High,54
BEN-3636,Glo,Akwa Ibom,Benin City,3G,97.94,236.44,14,23.458101851851858,Medium Risk,0.5798024970794017,High,55
LAG-9797,Glo,Adamawa,Lagos,4G,93.75,475.06,16,59.32928240740741,Medium Risk,0.5797508856628235,High,56
ABU-2873,Glo,Jigawa,Abuja,4G,98.04,213.4,6,41.12453703703704,Medium Risk,0.5797070114284413,High,57
IBA-1615,Glo,Ebonyi,Ibadan,4G,91.08,205.06,12,32.37237654320988,Medium Risk,0.5794577279642321,High,58
IBA-5194,Airtel,Adamawa,Ibadan,4G,96.75,314.64,14,48.49444444444446,Medium Risk,0.5793812433184975,High,59
BEN-4319,9mobile,Kaduna,Benin City,4G,98.74,208.07999999999998,11,31.188888888888883,Medium Risk,0.579374691418832,High,60
CAL-9390,9mobile,Ondo,Calabar,3G,98.65,272.88,11,35.655555555555544,Medium Risk,0.5793463759713018,High,61
POR-5970,Airtel,Akwa Ibom,Port Harcourt,4G,97.31,307.59,12,34.88767361111111,Medium Risk,0.5793446963828185,High,62
IBA-7524,9mobile,Jigawa,Ibadan,4G,85.83,274.47,9,53.317013888888894,Medium Risk,0.5793351278855756,High,63
ABU-1720,Airtel,Kaduna,Abuja,4G,95.57,115.19999999999999,9,13.333333333333336,Low Risk,0.5786737839820334,High,64
JOS-7404,Airtel,Ebonyi,Jos,4G,96.8,300.67,14,35.49992283950616,Medium Risk,0.5784248438870655,High,65
POR-8877,9mobile,Jigawa,Port Harcourt,4G,90.54,170.06,8,38.70810185185185,Medium Risk,0.578398946622899,High,66
ABU-3099,9mobile,Jigawa,Abuja,3G,86.0,239.76,8,42.475,Medium Risk,0.5782441850375751,High,67
POR-1325,Glo,Ebonyi,Port Harcourt,4G,95.57,496.8,16,56.06249999999999,Medium Risk,0.5778060823344799,High,68
JOS-2187,9mobile,Abia,Jos,4G,86.25,598.75,19,60.33744212962963,High Risk,0.5777684319356873,High,69
ABE-9653,Glo,Jigawa,Abeokuta,4G,94.84,99.36,7,28.39999999999998,Medium Risk,0.5776256407581157,High,70
ABE-5039,Glo,Anambra,Abeokuta,4G,97.65,322.70000000000005,14,55.54984567901232,Medium Risk,0.5775934792825922,High,71
KAD-3171,9mobile,Kaduna,Kaduna,4G,96.82,171.22,12,26.427932098765417,Medium Risk,0.577422128348855,High,72
POR-9837,9mobile,Kwara,Port Harcourt,4G,98.45,78.62,10,9.0997685185185,Low Risk,0.5773392899747285,High,73
IBA-5629,Airtel,Ondo,Ibadan,4G,93.29,191.81,9,31.366743827160487,Medium Risk,0.5772367092814391,High,74
BEN-4322,9mobile,Ondo,Benin City,4G,90.58,399.17,15,65.98755787037038,High Risk,0.5772345106961783,High,75
ABU-1906,Airtel,Jigawa,Abuja,4G,95.06,273.17,8,53.341782407407415,Medium Risk,0.5772117900051872,High,76
ABU-6169,Glo,Kaduna,Abuja,4G,87.96,492.34,13,59.6917824074074,Medium Risk,0.5772058229424281,High,77
LAG-6288,MTN,Jigawa,Lagos,4G,98.57,222.62,8,32.01095679012349,Medium Risk,0.5771663658584164,High,78
ABU-3500,Glo,Jigawa,Abuja,3G,95.68,263.67,8,44.94201388888889,Medium Risk,0.5770434244457429,High,79
BEN-7319,Glo,Akwa Ibom,Benin City,4G,95.16,452.03000000000003,15,46.17123842592592,Medium Risk,0.5768981330031027,High,80
LAG-7385,9mobile,Ondo,Lagos,2G,97.05,282.96000000000004,10,48.86666666666666,Medium Risk,0.5766955577854109,High,81
KAN-6237,Glo,Jigawa,Kano,4G,92.32,142.56,9,39.725,Medium Risk,0.5765552807991264,High,82
KAN-5190,9mobile,Jigawa,Kano,4G,88.26,240.2,10,44.77546296296297,Medium Risk,0.5761734255384673,High,83
KAN-1151,9mobile,Akwa Ibom,Kano,4G,94.83,244.07999999999998,12,40.249999999999986,Medium Risk,0.5761477734585488,High,84
